ParticipantId- Prefill,Program,"We strive to ensure our community is diverse. Please respond to the following questions about your background, identity, and experiences to the extent you feel comfortable. If you do not want to provide this information, please select “I choose not to provide this information.”",African American/Black,"Please specify your selection, to the degree you feel necessary",Please specify,Asian American,"Please specify your selection, to the degree you feel necessary",Please specify,Latinx or Hispanic,"Please specify your selection, to the degree you feel necessary",Please specify,Native American,Would you prefer to specify your selection?,Please specify,Native Alaskan,Would you prefer to specify your selection?,Please specify,Native Hawaiian/Pacific Islander,"Please specify your selection, to the degree you feel necessary",Please specify,White/Caucasian,"Please specify your selection, to the degree you feel necessary",Please specify,Middle Eastern/North African,"Please specify your selection, to the degree you feel necessary",Please specify,Multi-ethnic/Multi-racial,Would you prefer to specify your selection?,Please specify,Other,Would you prefer to specify your selection?,Please specify,I choose not to provide information about the race/ethnicity I identify with.,What is your gender identity?,How likely would you be to recommend Program to a friend?,NPS Score,Program was one of the most valuable personal or professional development experiences I've ever had.,How much do you think Program has improved your chances of getting the job you want after graduation?,Which of the following changes did you experience while completing the Program Accelerator? Please select all that apply.,"I feel part of a larger Program community of Fellows, alumni, and supporters.",I see Program as more than just a course; I feel like I am part of a broader movement.,I have a mentor who encourages my goals and dreams.,I believe the next generation of leaders will emerge from everywhere.,I was able to build relationships with my cohort and coach while in a virtual/hybrid environment.
380,CHI: NLU Spring 2022,I identify as a person of color.,African American/Black,African American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,1,1,Neither Agree nor Disagree,Improved my chances a little,"I understood how to apply for an internship, job, or other career-accelerating opportunity",Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree
381,CHI: NLU Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.",African American/Black,African American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,10(Extremely likely),10,Strongly Agree,Improved my chances a great deal,"I expanded my professional network,I made new friends,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I obtained an internship, job, or other career-accelerating experience,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Somewhat Agree,Strongly Agree
382,CHI: NLU Spring 2022,I identify as a person of color.,African American/Black,African American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,4,4,Neither Agree nor Disagree,Improved my chances a little,"I expanded my professional network,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity",Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree
383,CHI: NLU Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",African American/Black,African American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,10(Extremely likely),10,Strongly Agree,Improved my chances a great deal,"I expanded my professional network,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
384,CHI: NLU Spring 2022,"I identify as a person of color.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",African American/Black,African American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,10(Extremely likely),10,Agree,Improved my chances quite a bit,"I expanded my professional network,I made new friends,I understood how to apply for an internship, job, or other career-accelerating opportunity",Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree
385,CHI: NLU Spring 2022,I identify as a person of color.,African American/Black,African American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,10(Extremely likely),10,Strongly Agree,Improved my chances a great deal,"I expanded my professional network,I made new friends,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
386,CHI: NLU Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.",African American/Black,African American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,8,8,Agree,Moderately improved my chances,"I expanded my professional network,I made new friends,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I obtained an internship, job, or other career-accelerating experience,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Agree,Agree,Agree,Agree,Agree
387,CHI: NLU Spring 2022,"I identify as a person of color,I identify as having grown up in a low-income community,I do receive or have received a Federal Pell Grant,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree)",African American/Black,African American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,7,7,Moderately Agree,Moderately improved my chances,"I expanded my professional network,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I obtained an internship, job, or other career-accelerating experience,I improved my professional artifacts (resume, cover letter, and LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Strongly Agree,Agree,Somewhat Agree,Agree,Somewhat Agree
388,BAY: San Jose Spring 2022,I choose not to provide this information.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Male,10(Extremely likely),10,Agree,Improved my chances quite a bit,"I expanded my professional network,I explored my career options and defined my career goals,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills",Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree
389,BAY: San Jose Spring 2022,"I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",,,,,,,,,,,,,,,,,,,White/Caucasian,German,,,,,,,,,,,,Female,10(Extremely likely),10,Agree,Improved my chances quite a bit,"I expanded my professional network,I made new friends,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Somewhat Agree,Somewhat Agree,Agree,Agree,Agree
390,BAY: San Jose Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I do receive or have received a Federal Pell Grant.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",,,,Asian American,Vietnamese,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,9,9,Agree,Improved my chances quite a bit,"I expanded my professional network,I made new friends,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I obtained an internship, job, or other career-accelerating experience,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile)",Agree,Agree,Agree,Strongly Agree,Agree
391,BAY: San Jose Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.",,,,Asian American,Filipino,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,10(Extremely likely),10,Strongly Agree,Improved my chances quite a bit,"I explored my career options and defined my career goals,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Somewhat Agree,Agree,Agree,Strongly Agree,Agree
392,BAY: San Jose Spring 2022,"I identify as a person of color.,I identify as having grown up in a low-income community.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",,,,,,,Latinx or Hispanic,Mexican or Mexican American,,,,,,,,,,,,,,,,,,,,,,,,Male,6,6,Neither Agree nor Disagree,Moderately improved my chances,I expanded my professional network,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree
393,BAY: San Jose Spring 2022,"I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",,,,Asian American,Filipino,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,10(Extremely likely),10,Strongly Agree,Improved my chances quite a bit,"I expanded my professional network,I made new friends,I explored my career options and defined my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
394,BAY: San Jose Spring 2022,"I identify as a person of color.,I identify as a first-generation college student (i.e., I don't have a parent or legal guardian who has completed a four-year degree).",,,,Asian American,Chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,10(Extremely likely),10,Strongly Agree,Improved my chances a great deal,"I made new friends,I explored my career options and defined my career goals,I gained a tangible plan for achieving my career goals,I understood how to apply for an internship, job, or other career-accelerating opportunity,I obtained an internship, job, or other career-accelerating experience,I improved my professional artifacts (resume, cover letter, and/or LinkedIn profile),I improved my interviewing skills,I improved my leadership abilities",Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree
